LAMMPS DATA file for 4*4*4-Ga2O3

1280 atoms
2 atom types

0.0 49.50744079 xlo xhi
0.0 12.33503135 ylo yhi
0.0 22.88864419 zlo zhi
0.0 -5.63553564 0.0 xy xz yz

Masses

1 69.723
2 15.999

Atoms #atomic

52 2 -0.99106333 10.79315243 4.26640208
53 1 -0.96093194 0.00000000 21.08863315
54 1 -0.96093194 3.08375784 21.08863315
55 1 -0.96093194 6.16751568 21.08863315
56 1 -0.96093194 9.25127351 21.08863315
57 2 -0.91713414 0.00000000 12.07647898
58 2 -0.91713414 3.08375784 12.07647898
59 2 -0.91713414 6.16751568 12.07647898
60 2 -0.91713414 9.25127351 12.07647898
61 2 -0.79728017 1.54187892 19.67092769
62 2 -0.79728017 4.62563676 19.67092769
63 2 -0.79728017 7.70939459 19.67092769
64 2 -0.79728017 10.79315243 19.67092769
65 2 -0.05870928 0.00000000 8.93987755
66 2 -0.05870928 3.08375784 8.93987755
67 2 -0.05870928 6.16751568 8.93987755
68 2 -0.05870928 9.25127351 8.93987755
69 1 0.01425021 0.00000000 4.55760972
70 1 0.01425021 3.08375784 4.55760972
71 1 0.01425021 6.16751568 4.55760972
72 1 0.01425021 9.25127351 4.55760972
73 2 0.06114469 1.54187892 16.53432626
74 2 0.06114469 4.62563676 16.53432626
75 2 0.06114469 7.70939459 16.53432626
76 2 0.06114469 10.79315243 16.53432626
77 1 0.10494249 1.54187892 7.52217209
78 1 0.10494249 4.62563676 7.52217209
79 1 0.10494249 7.70939459 7.52217209
80 1 0.10494249 10.79315243 7.52217209
81 1 0.44795197 0.00000000 15.36647210
82 1 0.44795197 3.08375784 15.36647210
83 1 0.44795197 6.16751568 15.36647210
84 1 0.44795197 9.25127351 15.36647210
85 2 0.49174977 0.00000000 6.35431793
86 2 0.49174977 3.08375784 6.35431793
87 2 0.49174977 6.16751568 6.35431793
88 2 0.49174977 9.25127351 6.35431793
89 1 0.53864426 1.54187892 18.33103447
90 1 0.53864426 4.62563676 18.33103447
91 1 0.53864426 7.70939459 18.33103447
92 1 0.53864426 10.79315243 18.33103447
93 2 0.61160374 1.54187892 13.94876664
